SMILES,score
CC(=O)NC1C(NC(=O)C(NC2CCCN(C(C)C(=O)N(C)C)C2)c2ccc3c(c2)OCCO3)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.29
COc1ccc(Br)cc1C(NCCC1(O)CC(C)(C)C1)C(=O)NC1OC(CO)C(O)C(OC2OC(C(=O)O)C(O)C(O)C2O)C1NC(C)=O,11.9
CC(=O)NC1C(NC(=O)C(NC(CCO)c2csc(C)n2)c2c(F)c(F)cc(F)c2F)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.38
CC(=O)NC1C(NC(=O)C(NCCC(O)c2cncc(F)c2)c2ccc(B(O)O)cc2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.22
CC(=O)NC1C(NC(=O)C(NNC(C2CCC2)C2CN(C)CCO2)c2cscn2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,10.33
COc1cc(C(NC2C3CC2N(C(=O)C(C)(F)F)C3)C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)ccc1OCc1ccccc1,13.37
CNC(=O)CCCN1CCCC(NC(C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)c2cc(OC)cc(OC)c2)C1,10.89
CC(=O)NC1C(NC(=O)C(NCC2(C(O)c3ccoc3C)CC2)c2c[nH]c3cc(Cl)ccc23)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,10.87
CSCC(CCO)NC(C(=O)NC1OC(CO)C(O)C(OC2OC(C(=O)O)C(O)C(O)C2O)C1NC(C)=O)c1c2ccccc2cc2ccccc12,12.82
CC(=O)NC1C(NC(=O)C(NCC2CN(C(C)C(C)C)CCO2)c2ccc(C)cn2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.89
CCCN1CCCC(NC(C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)c2cccc(Cl)c2)C1,11.38
CCC(C(=O)NC(C(=O)NC1OC(CO)C(O)C(OC2OC(C(=O)O)C(O)C(O)C2O)C1NC(C)=O)c1cc(Cl)ccc1[N+](=O)[O-])N1CCCC(N)C1,6.38
CCn1cc(C(O)C(C)CNC(C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)c2ccccc2OC)nn1,12.4
CC(=O)NC1C(NC(=O)C(NC(C)CCN(C)C2CCOCC2)c2c(F)c(F)cc(F)c2F)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.64
CC(=O)NC1C(NC(=O)C(NCC(C)(CO)c2ccnn2C)c2cscn2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,12.48
CC(=O)NC1C(NC(=O)C(NC(CC2CN(C)CCO2)C(N)=O)c2cccc(O)c2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,10.34
CCCCC1(O)CCC(NC(C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)C(Cl)C=O)C1,12.15
COc1ccccc1C(=O)N1CCC1CNC(C(=O)NC1OC(CO)C(O)C(OC2OC(C(=O)O)C(O)C(O)C2O)C1NC(C)=O)c1ccccc1B1OC(C)(C)C(C)(C)O1,12.49
C#CCN1CC(CCNC(C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)C2CCOCC2)c2ccccc21,10.56
CC(=O)NC1C(NC(=O)C(NC2(C)CCC(NC(=O)OC(C)(C)C)CC2)c2csc(-c3ccccc3)n2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,12.4
CC(=O)NC1C(NC(=O)C(NC(CO)CCN2CCCN(C)CC2)c2c[nH]c3cc(Cl)ccc23)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,12.48
CC(=O)NC1C(NC(=O)C(NCC2CN(C(C)C)CCC2C)c2c[nH]cn2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,13.18
CC(=O)NC1C(NC(=O)C(NCCC(C)N2C(=O)CCC2=O)c2c[nH]c3cc(Cl)ccc23)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,12.48
CC(=O)NC1C(NC(=O)C(NC(CCO)c2ccc(C#N)cc2)c2ccc3c(c2)OCO3)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,12.45
CC(=O)NC1C(NC(=O)C(NC2CCOCC2CN2CCC2(C)C)c2ccc(Br)cc2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,9.83
